BTC-USDT;BTC-TUSD;TUSD-USDT
BTC-USDT;BTC-USDC;USDC-USDT
BTC-USDT;BTC-EUR;EUR-USDT
BTC-USDT;BTC-FDUSD;FDUSD-USDT
BTC-USDT;BTC-AEUR;AEUR-USDT
ETH-USDT;ETH-BTC;BTC-USDT
ETH-USDT;ETH-TUSD;TUSD-USDT
ETH-USDT;ETH-USDC;USDC-USDT
ETH-USDT;ETH-EUR;EUR-USDT
ETH-USDT;ETH-FDUSD;FDUSD-USDT
ETH-USDT;ETH-AEUR;AEUR-USDT
BNB-USDT;BNB-BTC;BTC-USDT
BNB-USDT;BNB-ETH;ETH-USDT
BNB-USDT;BNB-TUSD;TUSD-USDT
BNB-USDT;BNB-USDC;USDC-USDT
BNB-USDT;BNB-EUR;EUR-USDT
BNB-USDT;BNB-FDUSD;FDUSD-USDT
NEO-USDT;NEO-BTC;BTC-USDT
NEO-USDT;NEO-ETH;ETH-USDT
LTC-USDT;LTC-BTC;BTC-USDT
LTC-USDT;LTC-ETH;ETH-USDT
LTC-USDT;LTC-BNB;BNB-USDT
LTC-USDT;LTC-TUSD;TUSD-USDT
LTC-USDT;LTC-EUR;EUR-USDT
LTC-USDT;LTC-FDUSD;FDUSD-USDT
QTUM-USDT;QTUM-BTC;BTC-USDT
QTUM-USDT;QTUM-ETH;ETH-USDT
ADA-USDT;ADA-BTC;BTC-USDT
ADA-USDT;ADA-ETH;ETH-USDT
ADA-USDT;ADA-BNB;BNB-USDT
ADA-USDT;ADA-TUSD;TUSD-USDT
ADA-USDT;ADA-USDC;USDC-USDT
ADA-USDT;ADA-EUR;EUR-USDT
ADA-USDT;ADA-FDUSD;FDUSD-USDT
XRP-USDT;XRP-BTC;BTC-USDT
XRP-USDT;XRP-ETH;ETH-USDT
XRP-USDT;XRP-BNB;BNB-USDT
XRP-USDT;XRP-TUSD;TUSD-USDT
XRP-USDT;XRP-USDC;USDC-USDT
XRP-USDT;XRP-EUR;EUR-USDT
XRP-USDT;XRP-FDUSD;FDUSD-USDT
EOS-USDT;EOS-BTC;BTC-USDT
EOS-USDT;EOS-ETH;ETH-USDT
IOTA-USDT;IOTA-BTC;BTC-USDT
IOTA-USDT;IOTA-ETH;ETH-USDT
IOTA-USDT;IOTA-FDUSD;FDUSD-USDT
XLM-USDT;XLM-BTC;BTC-USDT
XLM-USDT;XLM-ETH;ETH-USDT
XLM-USDT;XLM-BNB;BNB-USDT
XLM-USDT;XLM-EUR;EUR-USDT
ONT-USDT;ONT-BTC;BTC-USDT
TRX-USDT;TRX-BTC;BTC-USDT
TRX-USDT;TRX-ETH;ETH-USDT
TRX-USDT;TRX-BNB;BNB-USDT
TRX-USDT;TRX-XRP;XRP-USDT
TRX-USDT;TRX-EUR;EUR-USDT
ETC-USDT;ETC-BTC;BTC-USDT
ETC-USDT;ETC-ETH;ETH-USDT
ETC-USDT;ETC-BNB;BNB-USDT
ICX-USDT;ICX-BTC;BTC-USDT
NULS-USDT;NULS-BTC;BTC-USDT
VET-USDT;VET-BTC;BTC-USDT
VET-USDT;VET-ETH;ETH-USDT
VET-USDT;VET-BNB;BNB-USDT
VET-USDT;VET-EUR;EUR-USDT
LINK-USDT;LINK-BTC;BTC-USDT
LINK-USDT;LINK-ETH;ETH-USDT
LINK-USDT;LINK-BNB;BNB-USDT
LINK-USDT;LINK-TUSD;TUSD-USDT
LINK-USDT;LINK-EUR;EUR-USDT
LINK-USDT;LINK-FDUSD;FDUSD-USDT
WAVES-USDT;WAVES-BTC;BTC-USDT
WAVES-USDT;WAVES-ETH;ETH-USDT
ONG-USDT;ONG-BTC;BTC-USDT
HOT-USDT;HOT-ETH;ETH-USDT
ZIL-USDT;ZIL-BTC;BTC-USDT
ZIL-USDT;ZIL-ETH;ETH-USDT
ZRX-USDT;ZRX-BTC;BTC-USDT
FET-USDT;FET-BTC;BTC-USDT
FET-USDT;FET-BNB;BNB-USDT
FET-USDT;FET-FDUSD;FDUSD-USDT
BAT-USDT;BAT-BTC;BTC-USDT
XMR-USDT;XMR-BTC;BTC-USDT
XMR-USDT;XMR-ETH;ETH-USDT
XMR-USDT;XMR-BNB;BNB-USDT
ZEC-USDT;ZEC-BTC;BTC-USDT
ZEC-USDT;ZEC-ETH;ETH-USDT
IOST-USDT;IOST-BTC;BTC-USDT
IOST-USDT;IOST-ETH;ETH-USDT
CELR-USDT;CELR-BTC;BTC-USDT
DASH-USDT;DASH-BTC;BTC-USDT
DASH-USDT;DASH-ETH;ETH-USDT
THETA-USDT;THETA-BTC;BTC-USDT
THETA-USDT;THETA-ETH;ETH-USDT
ENJ-USDT;ENJ-BTC;BTC-USDT
ENJ-USDT;ENJ-ETH;ETH-USDT
MATIC-USDT;MATIC-BTC;BTC-USDT
MATIC-USDT;MATIC-ETH;ETH-USDT
MATIC-USDT;MATIC-BNB;BNB-USDT
MATIC-USDT;MATIC-TUSD;TUSD-USDT
MATIC-USDT;MATIC-USDC;USDC-USDT
MATIC-USDT;MATIC-EUR;EUR-USDT
MATIC-USDT;MATIC-FDUSD;FDUSD-USDT
ATOM-USDT;ATOM-BTC;BTC-USDT
ATOM-USDT;ATOM-ETH;ETH-USDT
ATOM-USDT;ATOM-BNB;BNB-USDT
ATOM-USDT;ATOM-EUR;EUR-USDT
ATOM-USDT;ATOM-FDUSD;FDUSD-USDT
TFUEL-USDT;TFUEL-BTC;BTC-USDT
ONE-USDT;ONE-BTC;BTC-USDT
ONE-USDT;ONE-BNB;BNB-USDT
FTM-USDT;FTM-BTC;BTC-USDT
FTM-USDT;FTM-ETH;ETH-USDT
FTM-USDT;FTM-BNB;BNB-USDT
FTM-USDT;FTM-EUR;EUR-USDT
FTM-USDT;FTM-FDUSD;FDUSD-USDT
ALGO-USDT;ALGO-BTC;BTC-USDT
ALGO-USDT;ALGO-ETH;ETH-USDT
ALGO-USDT;ALGO-BNB;BNB-USDT
ALGO-USDT;ALGO-FDUSD;FDUSD-USDT
DOGE-USDT;DOGE-BTC;BTC-USDT
DOGE-USDT;DOGE-TUSD;TUSD-USDT
DOGE-USDT;DOGE-EUR;EUR-USDT
DOGE-USDT;DOGE-FDUSD;FDUSD-USDT
DUSK-USDT;DUSK-BTC;BTC-USDT
ANKR-USDT;ANKR-BTC;BTC-USDT
WIN-USDT;WIN-BNB;BNB-USDT
WIN-USDT;WIN-TRX;TRX-USDT
WIN-USDT;WIN-EUR;EUR-USDT
COS-USDT;COS-BTC;BTC-USDT
COS-USDT;COS-BNB;BNB-USDT
MTL-USDT;MTL-BTC;BTC-USDT
DENT-USDT;DENT-ETH;ETH-USDT
DOCK-USDT;DOCK-BTC;BTC-USDT
WAN-USDT;WAN-BTC;BTC-USDT
WAN-USDT;WAN-ETH;ETH-USDT
FUN-USDT;FUN-ETH;ETH-USDT
FUN-USDT;FUN-BNB;BNB-USDT
CHZ-USDT;CHZ-BTC;BTC-USDT
CHZ-USDT;CHZ-BNB;BNB-USDT
CHZ-USDT;CHZ-EUR;EUR-USDT
BAND-USDT;BAND-BTC;BTC-USDT
XTZ-USDT;XTZ-BTC;BTC-USDT
REN-USDT;REN-BTC;BTC-USDT
RVN-USDT;RVN-BTC;BTC-USDT
HBAR-USDT;HBAR-BTC;BTC-USDT
HBAR-USDT;HBAR-BNB;BNB-USDT
NKN-USDT;NKN-BTC;BTC-USDT
STX-USDT;STX-BTC;BTC-USDT
STX-USDT;STX-BNB;BNB-USDT
KAVA-USDT;KAVA-BTC;BTC-USDT
KAVA-USDT;KAVA-ETH;ETH-USDT
ARPA-USDT;ARPA-BTC;BTC-USDT
ARPA-USDT;ARPA-BNB;BNB-USDT
IOTX-USDT;IOTX-BTC;BTC-USDT
IOTX-USDT;IOTX-ETH;ETH-USDT
RLC-USDT;RLC-BTC;BTC-USDT
RLC-USDT;RLC-ETH;ETH-USDT
CTXC-USDT;CTXC-BTC;BTC-USDT
BCH-USDT;BCH-BTC;BTC-USDT
BCH-USDT;BCH-BNB;BNB-USDT
BCH-USDT;BCH-TUSD;TUSD-USDT
BCH-USDT;BCH-EUR;EUR-USDT
BCH-USDT;BCH-FDUSD;FDUSD-USDT
VITE-USDT;VITE-BTC;BTC-USDT
EUR-USDT;EUR-AEUR;AEUR-USDT
OGN-USDT;OGN-BTC;BTC-USDT
DREP-USDT;DREP-BTC;BTC-USDT
LSK-USDT;LSK-BTC;BTC-USDT
LSK-USDT;LSK-ETH;ETH-USDT
BNT-USDT;BNT-BTC;BTC-USDT
BNT-USDT;BNT-ETH;ETH-USDT
LTO-USDT;LTO-BTC;BTC-USDT
COTI-USDT;COTI-BTC;BTC-USDT
COTI-USDT;COTI-BNB;BNB-USDT
STPT-USDT;STPT-BTC;BTC-USDT
DATA-USDT;DATA-BTC;BTC-USDT
SOL-USDT;SOL-BTC;BTC-USDT
SOL-USDT;SOL-ETH;ETH-USDT
SOL-USDT;SOL-BNB;BNB-USDT
SOL-USDT;SOL-TUSD;TUSD-USDT
SOL-USDT;SOL-USDC;USDC-USDT
SOL-USDT;SOL-EUR;EUR-USDT
SOL-USDT;SOL-FDUSD;FDUSD-USDT
CTSI-USDT;CTSI-BTC;BTC-USDT
CTSI-USDT;CTSI-BNB;BNB-USDT
HIVE-USDT;HIVE-BTC;BTC-USDT
CHR-USDT;CHR-BTC;BTC-USDT
CHR-USDT;CHR-ETH;ETH-USDT
CHR-USDT;CHR-BNB;BNB-USDT
ARDR-USDT;ARDR-BTC;BTC-USDT
MDT-USDT;MDT-BTC;BTC-USDT
KNC-USDT;KNC-BTC;BTC-USDT
LRC-USDT;LRC-BTC;BTC-USDT
LRC-USDT;LRC-ETH;ETH-USDT
COMP-USDT;COMP-BTC;BTC-USDT
COMP-USDT;COMP-TUSD;TUSD-USDT
SC-USDT;SC-ETH;ETH-USDT
ZEN-USDT;ZEN-BTC;BTC-USDT
ZEN-USDT;ZEN-ETH;ETH-USDT
SNX-USDT;SNX-BTC;BTC-USDT
SNX-USDT;SNX-ETH;ETH-USDT
SNX-USDT;SNX-BNB;BNB-USDT
DGB-USDT;DGB-BTC;BTC-USDT
SXP-USDT;SXP-BTC;BTC-USDT
SXP-USDT;SXP-BNB;BNB-USDT
MKR-USDT;MKR-BTC;BTC-USDT
DCR-USDT;DCR-BTC;BTC-USDT
